time,x,y,z
1669192346.804240, -89.594827, -81.209600, 0.289000
1669192347.807153, -89.161333, -82.063626, 0.296000
1669192348.807561, -88.708103, -82.909295, 0.291000
1669192349.808328, -88.263899, -83.766831, 0.277000
1669192350.807246, -87.811148, -84.605464, 0.290000
1669192351.808322, -87.355710, -85.488528, 0.297000
1669192352.804663, -86.919385, -86.360912, 0.304000
1669192353.806342, -86.476201, -87.208074, 0.294000
1669192354.807466, -86.044740, -88.058552, 0.276000
1669192355.807794, -85.612619, -88.940667, 0.284000
1669192356.807889, -85.193232, -89.788720, 0.292000
1669192357.808936, -84.769681, -90.673463, 0.291000
1669192358.808042, -84.352249, -91.566240, 0.276000
1669192359.805739, -83.936327, -92.424592, 0.283000
1669192360.806986, -83.523704, -93.309890, 0.278000
1669192361.804137, -83.124512, -94.184603, 0.291000
1669192362.808123, -82.706985, -95.071833, 0.274000
1669192363.808219, -82.300708, -95.960907, 0.274000
1669192364.808525, -81.905511, -96.841840, 0.276000
1669192365.808530, -81.516371, -97.744865, 0.259000
1669192366.810634, -81.134186, -98.599315, 0.260000
1669192367.807210, -80.747907, -99.503400, 0.263000
1669192368.807990, -80.371865, -100.393811, 0.269000
1669192369.808097, -79.975282, -101.281241, 0.259000
1669192370.806191, -79.566867, -102.141315, 0.251000
1669192371.804980, -79.157348, -103.024525, 0.244000
1669192372.806081, -78.756210, -103.907963, 0.243000
1669192373.808168, -78.365904, -104.777532, 0.241000
1669192374.805888, -77.968234, -105.671453, 0.235000
1669192375.806054, -77.583915, -106.558860, 0.224000
1669192376.804961, -77.186664, -107.451109, 0.228000
1669192377.805661, -76.832691, -108.311000, 0.236000
1669192378.806067, -76.427981, -109.186731, 0.244000
1669192379.804581, -75.998556, -110.051599, 0.237000
1669192380.805390, -75.569159, -110.935701, 0.241000
1669192381.805877, -75.151882, -111.811275, 0.248000
1669192382.806407, -74.727016, -112.662750, 0.230000
1669192383.806077, -74.315313, -113.549511, 0.249000
1669192384.807975, -73.886070, -114.389778, 0.228000
1669192385.805484, -73.492765, -115.303045, 0.238000
1669192386.807626, -73.073584, -116.181055, 0.236000
1669192387.805039, -72.672324, -117.048590, 0.235000
1669192388.804006, -72.263262, -117.932347, 0.236000
1669192389.806860, -71.868714, -118.789965, 0.250000
1669192390.807185, -71.459064, -119.683165, 0.266000
1669192391.806516, -71.049760, -120.543808, 0.247000
1669192392.804991, -70.632800, -121.482257, 0.244000
1669192393.806279, -70.253590, -122.335917, 0.241000
1669192394.804627, -69.863893, -123.223784, 0.239000
1669192395.806710, -69.470078, -124.124668, 0.231000
1669192396.806515, -69.085764, -124.968427, 0.219000
1669192397.810485, -68.627966, -125.783101, 0.255000
1669192398.805623, -68.065243, -126.443460, 0.250000
1669192399.805876, -67.376077, -126.985933, 0.250000
1669192400.805629, -66.594276, -127.375547, 0.272000
1669192401.808007, -65.742044, -127.598609, 0.263000
1669192402.806273, -64.861762, -127.666979, 0.280000
1669192403.803910, -64.009932, -127.578403, 0.275000
1669192404.804372, -63.196279, -127.333086, 0.296000
1669192405.804446, -62.422220, -126.926381, 0.308000
1669192406.804914, -61.724608, -126.379302, 0.270000
1669192407.807772, -61.090895, -125.710556, 0.225000
1669192408.804439, -60.530753, -124.987668, 0.199000
1669192409.804489, -59.916920, -124.203364, 0.121000
